F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
3.97081652583647e-06,-1.9476802429740623e-05,-8.315425244140428e-06,-1.0497482030500116e-05,-9.076881722118975e-06,-1.288632454833289e-05,-1.9595645086860944e-06,-2.4835182928872656e-06,-6.953886812148787e-07,1.8601073302824608e-07,4.669148854867976e-06,-1.0357668969335525e-05,-2.837825408677502e-05
3.995338590294056e-06,-1.954451552962619e-05,-8.142326415804706e-06,-1.0467071668361194e-05,-8.922361346531409e-06,-1.2716330326859058e-05,-1.717267414809443e-06,-2.3818972088421223e-06,-6.82475541346147e-07,2.0641653081380774e-07,4.624162847122623e-06,-1.0338713521918087e-05,-2.7624293394131806e-05
4.0412378206274015e-06,-1.9430660545114322e-05,-8.103022458018377e-06,-1.0392625892697665e-05,-8.804561504080412e-06,-1.2623373464093268e-05,-1.6753546471189046e-06,-2.2119325536175753e-06,-6.842551507315036e-07,1.8504021235170777e-07,4.648999667209679e-06,-1.0301765907518699e-05,-2.7095726643864146e-05
4.093757964687026e-06,-1.942694868071292e-05,-8.123354374231824e-06,-1.0344682478601147e-05,-8.779391365899495e-06,-1.2597592583705763e-05,-1.6540094312651757e-06,-2.2085444509010065e-06,-6.801587421764683e-07,2.110622206270743e-07,4.623976075309934e-06,-1.0309338313300073e-05,-2.6829443573162955e-05
4.269912301777791e-06,-1.933949668190791e-05,-7.910520086360435e-06,-1.0015135258252416e-05,-8.602520441276927e-06,-1.2152692467965975e-05,-1.491438793884796e-06,-2.1520648900768013e-06,-6.867669157184226e-07,2.644081718135826e-07,4.7408221629945566e-06,-1.0350486299210384e-05,-2.5592021868597514e-05
4.273275631205001e-06,-1.9192024442085727e-05,-7.922600905144408e-06,-9.92939430565068e-06,-8.485835236436533e-06,-1.2110074654754197e-05,-1.3955392172300417e-06,-2.007645782555607e-06,-6.531271191705372e-07,2.808549654272406e-07,4.81721828071639e-06,-1.029407971982869e-05,-2.476902856115831e-05
4.4072301969308305e-06,-1.8923341777116508e-05,-7.943066498455595e-06,-9.846489370898932e-06,-8.48342406005122e-06,-1.1268534256217704e-05,-1.2979971198733917e-06,-2.4765363415930204e-06,-5.769782990295108e-07,1.9899709508433316e-07,4.435251169203152e-06,-1.039207471408199e-05,-2.2507703757232553e-05
4.4127780308160684e-06,-1.9013801968051496e-05,-7.850448833572343e-06,-9.635097222940814e-06,-8.510539120932011e-06,-1.1080321724309102e-05,-1.2554891754826297e-06,-2.628990930555086e-06,-5.809945786925894e-07,1.5587105616761818e-07,4.416428968065596e-06,-1.0453992403881974e-05,-2.146673649663023e-05
4.501395511261101e-06,-1.9005658493371337e-05,-7.44873517329338e-06,-9.180307060662253e-06,-8.286685569605305e-06,-1.0581298358346307e-05,-9.271289669951812e-07,-2.6817102992805355e-06,-8.251215406462964e-07,2.689341047498406e-07,4.22302734438882e-06,-1.0654007081470205e-05,-1.9584038816727973e-05
4.689449415945633e-06,-1.885964679766944e-05,-7.081868597229076e-06,-9.15489426979939e-06,-8.167386719855068e-06,-1.0072570852892259e-05,-8.301829582612715e-07,-2.6399476635061735e-06,-7.001259487285162e-07,3.138343608476124e-07,4.083034620036487e-06,-1.0800255917580628e-05,-1.7267439737973203e-05
